"","1972-02-12 07:00:00","1972-02-13 07:00:00","1972-02-14 07:00:00","1972-02-15 07:00:00","1972-02-16 07:00:00","1972-02-17 07:00:00","1972-02-18 07:00:00","1972-02-19 07:00:00","1972-02-20 07:00:00","1972-02-21 07:00:00","1972-02-22 07:00:00","1972-02-23 07:00:00","1972-02-24 07:00:00","1972-02-25 07:00:00","1972-02-26 07:00:00","1972-02-27 07:00:00","1972-02-28 07:00:00","1972-02-29 07:00:00","1972-03-01 07:00:00","1972-03-02 07:00:00","1972-03-03 07:00:00"
"T+1",0.0408619122272502,0.048951849120492,0.0464078269220549,0.0439737098925083,0.0548773850210921,0.0554194623108973,0.0521621749885626,0.0523745051914276,0.0495494745743196,0.0481394826274071,0.0500299226629461,0.047328117184828,0.0446533970320239,0.043595061131091,0.0455796142906971,0.0450101353567902,0.0427130851905001,0.0414751057255557,0.039338105996218,0.0415158416188796,0.0538873200917928
"T+2",0.0413490205364776,0.0491899878338863,0.0467185730130309,0.0443584775170881,0.0549616202257988,0.0554905129123888,0.052314572631623,0.052521437790337,0.0497711852514754,0.0484003224162221,0.0502385875887125,0.0476120750038538,0.0450170060219572,0.0439917907138211,0.0459150112234466,0.0453627953517094,0.0431381830579711,0.0419412848675534,0.0398790265515108,0.0419806443940442,0.0539959886530226
"T+3",0.0418194707262237,0.0494215533022588,0.0470202044207699,0.0447312187065404,0.0550437978361679,0.0555598452369048,0.0524630453743452,0.0526646025414788,0.0499868581818979,0.0486538256554683,0.0504416302180055,0.0478878901318681,0.0453694561750282,0.0443759903152035,0.0462403616402098,0.0457047341378346,0.043549517915015,0.042391814672668,0.0404005393193608,0.0424298630222864,0.0541019525957874
"T+4",0.042274068388741,0.049646761463699,0.0473130565297485,0.0450924301736025,0.0551239712518741,0.0556275030115925,0.0526077061439591,0.0528041069508605,0.0501966867054648,0.0489002420446963,0.050639226976726,0.0481558498978491,0.0457111934323845,0.0447481871558743,0.0465560497349213,0.0460363729123499,0.0439476948851563,0.0428274281183865,0.0409036625003975,0.0428642258894936,0.0542052847329025
"T+5",0.0427135608919237,0.0498658190356883,0.0475974478122937,0.0454425792849807,0.0552021923273091,0.0556935287423794,0.0527486639618742,0.0529400548576982,0.0504008562235216,0.0491398100387882,0.0508315472714592,0.0484162279866352,0.0460426385268225,0.0451088765329884,0.0468624392537192,0.0463581096087948,0.044333280294846,0.043248807265981,0.0413893330889779,0.0432844109174699,0.0543060556286778
"T+6",0.0431386432626218,0.0500789240454909,0.0478736810036825,0.0457821064766254,0.0552785114245631,0.0557579637535902,0.0528860241163468,0.053072546593518,0.0505995446347249,0.0493727575360797,0.0510187538604081,0.0486692853257687,0.0463641889635265,0.0454585245156361,0.04715987500159,0.0466703206805772,0.0447068051477518,0.0436565882054204,0.0418584159162004,0.0436910504519901,0.0544043336838465
"T+7",0.0435499633116727,0.0502862663208907,0.0481420441714341,0.0461114274129784,0.0553529774641578,0.0558208482259955,0.0530198883253195,0.0532016791323831,0.0507929227397932,0.0495993025117703,0.0512010031988713,0.0489152708975191,0.0466762207999723,0.0457975703474643,0.0474486842054181,0.0469733627078754,0.0450687681998418,0.0440513653864919,0.0423117114149336,0.0440847355456435,0.054500185216443
"T+8",0.0439481261178233,0.0504880279449129,0.0484028116903913,0.0464309349230007,0.0554256379736482,0.055882221233371,0.0531503548901268,0.0533275462328616,0.050981154617892,0.0498196536019457,0.0513784457614163,0.049154422483789,0.0469790902496585,0.0461264285949097,0.04772917775006,0.0472675738491337,0.0454196386905245,0.0444336954276194,0.0427499623225456,0.0444660197254596,0.0545936745388694
"T+9",0.0443336979668142,0.0506843836777759,0.0486562451337042,0.0467410007409045,0.0554965391342056,0.0559421207776365,0.0532775188407,0.0534502385722972,0.0511643979770978,0.0500340106429276,0.0515512263426843,0.0493869673506819,0.0472731351308056,0.0464454910736056,0.0480016513018199,0.0475532751553868,0.0457598587762422,0.044804100478104,0.0431738594951277,0.0448354223198393,0.0546848640313736
"T+10",0.0447072098251955,0.0508755013489729,0.0489025940885612,0.0470419770754553,0.0555657258252827,0.0560005838226447,0.0534014720728566,0.0535698438738999,0.0513428044811394,0.0502425651701408,0.0517194843385746,0.0496131228787064,0.0475586761782114,0.0467551285806814,0.0482663863318065,0.0478307717631644,0.0460898457056607,0.0451630711968158,0.0435840469742496,0.0451934314068468,0.0547738142121461
